LocationHistoryID*	AuthorizedBy	Location* - do not change	LocationDate	LocationStatus	PrimaryKey_Object_Table	o_Accession_Full_ID	o_ItemType	topLevelLocation	childStorageLocation	childType	Location_refined	UniqueRooms	Room	Shelf/Drawer	Box	Library No.	Old Locations
1	JILLM	Tranby Room, Drawer 9	08/03/2000	Stored	230	A1992.95	ArtWork	Tranby room	Drawer 9	drawer	Tranby room		Tranby room	Drawer 9			0
2	JILLM	Tranby Room, Drawer 9	13/03/2000	Stored	244	A1992.96a	ArtWork	Tranby room	Drawer 9	drawer	Tranby room		Tranby room	Drawer 9			0
3	JILLM	Tranby Room, Drawer 9	13/03/2000	Stored	245	A1992.96b	ArtWork	Tranby room	Drawer 9	drawer	Tranby room		Tranby room	Drawer 9			0
4	JILLM	Tranby Room, Drawer 9	27/03/2000	Stored	263	A1992.96c	ArtWork	Tranby room	Drawer 9	drawer	Tranby room		Tranby room	Drawer 9			0
5	JILLM	Tranby Room, Drawer 9	27/03/2000	Stored	264	A1901.515d	ArtWork	Tranby room	Drawer 9	drawer	Tranby room		Tranby room	Drawer 9			0
6	JILLM	Tranby Room, Draw 9	27/03/2000	Stored	265	A1992.96e	ArtWork	Tranby room	Draw 9	drawer	Tranby room		Tranby room	Drawer 9			0
7	JILLM	Tranby Room, Drawer 9	27/03/2000	Stored	266	A1992.96f	ArtWork	Tranby room	Drawer 9	drawer	Tranby room		Tranby room	Drawer 9			0
8	JILLM	Tranby Room, Drawer 9	27/03/2000	Stored	267	A1992.96g	ArtWork	Tranby room	Drawer 9	drawer	Tranby room		Tranby room	Drawer 9			0
9	JILLM	Tranby Room, Drawer 9	27/03/2000	Stored	268	A1992.96h	ArtWork	Tranby room	Drawer 9	drawer	Tranby room		Tranby room	Drawer 9			0
10	JILLM	Tranby Room, Drawer 9	27/03/2000	Stored	269	A1992.96I	ArtWork	Tranby room	Drawer 9	drawer	Tranby room		Tranby room	Drawer 9			0
11	JILLM	Tranby Room, Drawer 9	27/03/2000	Stored	270	A1992.96j	ArtWork	Tranby room	Drawer 9	drawer	Tranby room		Tranby room	Drawer 9			0
12	JILLM	Tranby Room, Drawer 9	27/03/2000	Stored	271	A1992.96k	ArtWork	Tranby room	Drawer 9	drawer	Tranby room		Tranby room	Drawer 9			0
13	CURATOR	Tranby Room, Drawer 9	10/04/2000	Stored	280	A1992.96l	ArtWork	Tranby room	Drawer 9	drawer	Tranby room		Tranby room	Drawer 9			0
14	CURATOR	Tranby Room, Drawer 9	10/04/2000	Stored	281	A1992.96m	ArtWork	Tranby room	Drawer 9	drawer	Tranby room		Tranby room	Drawer 9			0
15	CURATOR	Tranby Room, Drawer 9	10/04/2000	Stored	282	A1992.96n	ArtWork	Tranby room	Drawer 9	drawer	Tranby room		Tranby room	Drawer 9			0
16	CURATOR	Tranby Room, Drawer 9	10/04/2000	Stored	283	A1992.96o	ArtWork	Tranby room	Drawer 9	drawer	Tranby room		Tranby room	Drawer 9			0
17	CURATOR	Tranby Room, Drawer 9	10/04/2000	Stored	284	A1992.96p	ArtWork	Tranby room	Drawer 9	drawer	Tranby room		Tranby room	Drawer 9			0
18	CURATOR	Tranby Room, Drawer 9	10/04/2000	Stored	285	A1992.96q	ArtWork	Tranby room	Drawer 9	drawer	Tranby room		Tranby room	Drawer 9			0
19	CURATOR	Tranby Room, Drawer 9	10/04/2000	Stored	286	A1992.96r	ArtWork	Tranby room	Drawer 9	drawer	Tranby room		Tranby room	Drawer 9			0
20	CURATOR	Tranby Room, Drawer 9	10/04/2000	Stored	287	A1992.96s	ArtWork	Tranby room	Drawer 9	drawer	Tranby room		Tranby room	Drawer 9			0
21	Curator	Tranby Room, Drawer 9	14/02/2000	Stored	196	A1993.83	ArtWork	Tranby room	Drawer 9	drawer	Tranby room		Tranby room	Drawer 9			0
22	JILLM	Library box	08/03/2000	Stored	231	A1995.61	ArtWork	Library	box	box	Library		Library		Library box		0
23	JILLM	Storeroom, Drawer B7	07/02/2000	Stored	192	A1996.14	ArtWork	Museum Store	Drawer B7	drawer	Museum Store		Museum Store	Drawer B7			1
24	Curator	Library in box	10/11/1999	Stored	147	A1996.47	ArtWork	Library	in box	box	Library		Library		in box		0
25	Curator	Library in box	24/11/1999	Stored	154	A1996.48a	ArtWork	Library	in box	box	Library		Library		in box		0
26	Curator	Library in box	24/11/1999	Stored	155	A1996.48b	ArtWork	Library	in box	box	Library		Library		in box		0
27	Curator	Library in box	8/12/1999	Stored	163	A1996.49a	ArtWork	Library	in box	box	Library		Library		in box		0
28	Curator	Library in box	8/12/1999	Stored	164	A1996.49b	ArtWork	Library	in box	box	Library		Library		in box		0
29	Curator	Library in box	8/12/1999	Stored	165	A1996.49c	ArtWork	Library	in box	box	Library		Library		in box		0
30	Curator	Library in box	8/12/1999	Stored	166	A1996.49d	ArtWork	Library	in box	box	Library		Library		in box		0
31	Curator	Library in box	8/12/1999	Stored	167	A1996.49e	ArtWork	Library	in box	box	Library		Library		in box		0
32	Curator	Library in box	8/12/1999	Stored	168	A1996.49f	ArtWork	Library	in box	box	Library		Library		in box		0
33	Curator	Library in box	8/12/1999	Stored	169	A1996.49g	ArtWork	Library	in box	box	Library		Library		in box		0
34	Curator	Library in box	8/12/1999	Stored	170	A1996.49h	ArtWork	Library	in box	box	Library		Library		in box		0
35	Curator	Library in box	8/12/1999	Stored	171	A1996.49I	ArtWork	Library	in box	box	Library		Library		in box		0
36	Curator	Library in box	8/12/1999	Stored	172	A1996.49j	ArtWork	Library	in box	box	Library		Library		in box		0
37	Curator	Library in box	8/12/1999	Stored	173	A1996.49k	ArtWork	Library	in box	box	Library		Library		in box		0
38	Curator	Library in box	8/12/1999	Stored	174	A1996.49l	ArtWork	Library	in box	box	Library		Library		in box		0
39	Curator	Library in box	8/12/1999	Stored	175	A1996.49m	ArtWork	Library	in box	box	Library		Library		in box		0
40	Curator	Library in box	8/12/1999	Stored	176	A1996.49n	ArtWork	Library	in box	box	Library		Library		in box		0
41	JILLM	Library	10/04/2000	Stored	292	A1996.50a	ArtWork	NULL	Library	room	Library		Library				0
42	JILLM	Library	08/05/2000	Stored	341	A1996.50aa	ArtWork	NULL	Library	room	Library		Library				0
43	JILLM	Library	10/04/2000	Stored	293	A1996.50b	ArtWork	NULL	Library	room	Library		Library				0
44	JILLM	Library	08/05/2000	Stored	342	A1996.50bb	ArtWork	NULL	Library	room	Library		Library				0
45	JILLM	Library	10/04/2000	Stored	294	A1996.50c	ArtWork	NULL	Library	room	Library		Library				0
46	JILLM	Library	08/05/2000	Stored	343	A1996.50cc	ArtWork	NULL	Library	room	Library		Library				0
47	JILLM	Library	10/04/2000	Stored	295	A1996.50d	ArtWork	NULL	Library	room	Library		Library				0
48	JILLM	Library	08/05/2000	Stored	344	A1996.50dd	ArtWork	NULL	Library	room	Library		Library				0
49	JILLM	Library	10/04/2000	Stored	296	A1996.50e	ArtWork	NULL	Library	room	Library		Library				0
50	JILLM	Library	08/05/2000	Stored	345	A1996.50ee	ArtWork	NULL	Library	room	Library		Library				0
51	JILLM	Library	10/04/2000	Stored	297	A1996.50f	ArtWork	NULL	Library	room	Library		Library				0
52	JILLM	Library	08/05/2000	Stored	346	A1996.50ff	ArtWork	NULL	Library	room	Library		Library				0
53	JILLM	Library	10/04/2000	Stored	298	A1996.50g	ArtWork	NULL	Library	room	Library		Library				0
54	JILLM	Library	08/05/2000	Stored	347	A1996.50gg	ArtWork	NULL	Library	room	Library		Library				0
55	JILLM	Library	10/04/2000	Stored	299	A1996.50h	ArtWork	NULL	Library	room	Library		Library				0
56	JILLM	Library	08/05/2000	Stored	348	A1996.50hh	ArtWork	NULL	Library	room	Library		Library				0
57	JILLM	Library	10/04/2000	Stored	300	A1996.50I	ArtWork	NULL	Library	room	Library		Library				0
58	JILLM	Library	08/05/2000	Stored	349	A1996.50ii	ArtWork	NULL	Library	room	Library		Library				0
59	JILLM	Library	10/04/2000	Stored	301	A1996.50j	ArtWork	NULL	Library	room	Library		Library				0
60	JILLM	Library	08/05/2000	Stored	350	A1996.50jj	ArtWork	NULL	Library	room	Library		Library				0
61	JILLM	Library	10/04/2000	Stored	302	A1996.50k	ArtWork	NULL	Library	room	Library		Library				0
62	JILLM	Library	08/05/2000	Stored	351	A1996.50kk	ArtWork	NULL	Library	room	Library		Library				0
63	JILLM	Library	10/04/2000	Stored	303	A1996.50l	ArtWork	NULL	Library	room	Library		Library				0
64	JILLM	Library	08/05/2000	Stored	352	A1996.50ll	ArtWork	NULL	Library	room	Library		Library				0
65	JILLM	Library	10/04/2000	Stored	304	A1996.50m	ArtWork	NULL	Library	room	Library		Library				0
66	JILLM	Library	08/05/2000	Stored	353	A1996.50mm	ArtWork	NULL	Library	room	Library		Library				0
67	JILLM	Library	10/04/2000	Stored	305	A1996.50n	ArtWork	NULL	Library	room	Library		Library				0
68	JILLM	Library	08/05/2000	Stored	354	A1996.50nn	ArtWork	NULL	Library	room	Library		Library				0
69	JILLM	Library	10/04/2000	Stored	306	A1996.50o	ArtWork	NULL	Library	room	Library		Library				0
70	CURATOR	Library	10/04/2000	Stored	307	A1996.50p	ArtWork	NULL	Library	room	Library		Library				0
71	JILLM	Library	08/05/2000	Stored	331	A1996.50q	ArtWork	NULL	Library	room	Library		Library				0
72	JILLM	Library	08/05/2000	Stored	332	A1996.50r	ArtWork	NULL	Library	room	Library		Library				0
73	JILLM	Library	08/05/2000	Stored	333	A1996.50s	ArtWork	NULL	Library	room	Library		Library				0
74	JILLM	Library	08/05/2000	Stored	334	A1996.50t	ArtWork	NULL	Library	room	Library		Library				0
75	JILLM	Library	08/05/2000	Stored	336	A1996.50v	ArtWork	NULL	Library	room	Library		Library				0
76	JILLM	Library	08/05/2000	Stored	337	A1996.50w	ArtWork	NULL	Library	room	Library		Library				0
77	JILLM	Library	08/05/2000	Stored	338	A1996.50x	ArtWork	NULL	Library	room	Library		Library				0
78	JILLM	Library	08/05/2000	Stored	339	A1996.50y	ArtWork	NULL	Library	room	Library		Library				0
79	JILLM	Library	08/05/2000	Stored	340	A1996.50z	ArtWork	NULL	Library	room	Library		Library				0
80	JILLM	Library drawing room	8/12/1999	Stored	180	A1996.51	ArtWork	Library	drawing room	drawer	Library		Library	Drawing room			0
81	Curator	Locked Storeroom	11/11/1998	Stored	44	A1997.57	ArtWork	NULL	Locked Storeroom	room	Locked Storeroom		Locked Storeroom				1
82	JILLM	Locked Storeroom, South Wall	29/05/2000	Stored	159	A1997.62	ArtWork	Locked Storeroom	South Wall	container	Locked Storeroom		Museum Store				1
83	JILLM	Tranby Room Drawer 9	29/05/2000	Stored	178	A1998.13	ArtWork	Tranby room	Drawer 9	drawer	Tranby room		Tranby room	Drawer 9			0
84	Curator	Locked Storeroom, C4	10/11/1998	Stored	30	A1998.16	ArtWork	Locked Storeroom	C4	container	Locked Storeroom		Museum Store				1
86	CURATOR	Tranby Room Drawer 10	13/11/1998	Stored	63	A1998.58	ArtWork	Tranby room	Drawer 10	drawer	Tranby room		Tranby room	Drawer 10			0
87	Curator	Hall, south wall.	19/10/1999	Displayed	132	A1999.16	ArtWork	NULL	Hall, south wall.	container	Hall, south wall.	Hall	Hall				0
88	JILLM	Tranby Room D9	29/05/2000	Stored	193	A1999.74	ArtWork	Tranby room	D9	container	Tranby room		Tranby room				1
89	UEB	Costume Room	22/08/2000	Stored	488	C1991.114	Costume	NULL	Costume room	room	Costume room		Costume room				0
91	REB	Costume Room Box 115	01/08/2000	Stored	471	C1972.2a	Costume	Costume room	Box 115	box	Costume room		Costume room		Box 115		0
95	REB	costume Room box 99	26/09/2000	Stored	544	C1985.121a	Costume	Costume room	box 99	box	Costume room		Costume room		Box 99		0
96	Curator	costume room box 99	7/11/2000	Stored	684	C1985.121b	Costume	Costume room	box 99	box	Costume room		Costume room		Box 99		0
102	REB	Costume Room	24/10/2000	Stored	619	C2000.38l	Costume	NULL	Costume room	room	Costume room		Costume room				0
104	JILLM	Tranby Room Box	15/05/2000	Stored	83	A1934.68b	ArtWork	Tranby room	Box	box	Tranby room		Tranby room				0
105	Curator	T.R. Drawer 17	07/02/2000	Stored	194	A1936.18	ArtWork	Tranby room	Drawer 17	drawer	Tranby room		Tranby room				0
106	Curator	Locked Storeroom C7	10/11/1998	Stored	32	A1937.43b	ArtWork	Locked Storeroom	C7	container	Locked Storeroom		Museum Store	C7			1
107	Curator	Locked Storeroom C8	10/11/1998	Stored	31	A1937.43a	ArtWork	Locked Storeroom	C8	container	Locked Storeroom		Museum Store	C8			1
108	Curator	Locked Storeroom B4	4/11/1998	Stored	8	A1937.46	ArtWork	Locked Storeroom	B4	container	Locked Storeroom		Museum Store	B4			1
109	Curator	Locked Storeroom B4	03/08/1999	Stored	8	A1937.46	ArtWork	Locked Storeroom	B4	container	Locked Storeroom		Museum Store	B4			1
110	Curator	Top Room, West Wall	9/11/1998	Displayed	24	A1938.66a	ArtWork	NULL	Top Room, West Wall	container	Top Room		Top Room				0
111	Curator	Locked Storeroom, South Wall	10/11/1998	Stored	24	A1938.66a	ArtWork	Locked Storeroom	South Wall	container	Locked Storeroom		Locked Storeroom				1
112	Curator	Locked Storeroom B2	10/11/1998	Stored	25	A1941.13	ArtWork	Locked Storeroom	B2	container	Locked Storeroom		Locked Storeroom	B2			1
113	JILLM	Top Room	15/05/2000	Displayed	355	A1946.2b	ArtWork	NULL	Top Room	container	Top Room		Top Room				0
114	JILLM	West wall	21/02/2000	Displayed	212	A1947.19	ArtWork	NULL	West wall	container	West wall		West wall				0
115	JILLM	Locked Storeroom A9	15/05/2000	Stored	212	A1947.19	ArtWork	Locked Storeroom	A9	container	Locked Storeroom		Locked Storeroom	A9			1
116	JILLM	Drawing Room over mantelpiece	21/02/2000	Displayed	209	A1948.14a	ArtWork	NULL	Drawing Room over mantelpiece	container	Drawing Room		Drawing Room	Over mantlepiece			0
117	JILLM	Locked Storeroom C3	15/05/2000	Stored	209	A1948.14a	ArtWork	Locked Storeroom	C3	container	Locked Storeroom		Locked Storeroom	C3			1
118	JILLM	Locked Storeroom C3	16/05/2000	Stored	209	A1948.14a	ArtWork	Locked Storeroom	C3	container	Locked Storeroom		Locked Storeroom	C3			1
119	JILLM	Locked Storeroom B9	29/05/2000	Stored	210	A1948.14b	ArtWork	Locked Storeroom	B9	container	Locked Storeroom		Locked Storeroom	B9			1
120	Curator	Hall, North Wall	4/11/1998	Displayed	2	A1949.11o	ArtWork	NULL	Hall, North Wall	container	Hall, North Wall	Hall	Hall	North Wall			0
